#OTU ID	M04754
OTU16234	12352
OTU20286	2194
OTU3234	256
OTU760	2308
OTU121	15714
OTU27902	15
OTU16	25181
OTU4918	281
OTU2621	2561
OTU39	37360
OTU5888	1483
OTU15	35186
OTU548	1553
OTU6267	933
OTU3979	294
OTU1	131151
OTU13109	86509
OTU5549	238
OTU18860	23541
OTU24177	1779
OTU168	6729
OTU33	43919
OTU263	3453
OTU603	1050
OTU6642	49
OTU53	19414
OTU25283	41746
OTU1805	335
OTU16882	34301
OTU46	6992
OTU15676	22
OTU60	6821
OTU4286	166
OTU718	1340
OTU16613	3820
OTU647	6389
OTU529	3600
OTU7792	143
OTU49	12973
OTU5	41230
OTU135	3514
OTU1317	1068
OTU7413	2731
OTU2427	332
OTU4891	216
OTU138	4752
OTU25253	20797
OTU5540	64
OTU255	9951
OTU3831	704
OTU115	8652
OTU1098	1331
OTU21254	10448
OTU685	4471
OTU798	1673
OTU515	3682
OTU945	2854
OTU360	4273
OTU8920	50
OTU873	7408
OTU7286	23
OTU1100	657
OTU187	21812
OTU4136	143
OTU155	5128
OTU15285	59964
OTU3497	226
OTU1609	406
OTU83	16844
OTU3539	188
OTU149	6552
OTU2837	494
OTU130	19864
OTU202	9867
OTU18530	3778
OTU5409	115
OTU6421	65585
OTU9765	1212
OTU975	791
OTU839	2477
OTU1028	3105
OTU212	11928
OTU676	1752
OTU28	32699
OTU25207	2380
OTU3	43093
OTU3273	2097
OTU23915	725
OTU11631	75712
OTU864	717
OTU21239	21405
OTU2305	1480
OTU113	21201
OTU4	150554
OTU1672	3064
OTU27241	3193
OTU355	16658
OTU55	11188
OTU402	2895
OTU341	5134
OTU1144	1100
OTU210	11167
OTU24107	4872
OTU2797	33613
OTU178	11832
OTU86	4949
OTU20924	185
OTU24183	11635
OTU4211	52
OTU896	916
OTU11425	38
OTU23252	12280
OTU3037	657
OTU137	27426
OTU25008	711
OTU8021	459
OTU18885	746
OTU45	16101
OTU25	13755
OTU1892	599
OTU1160	1250
OTU25261	24089
OTU66	7804
OTU256	5693
OTU16252	3562
OTU78	12355
OTU18185	1130
OTU2950	967
OTU375	6189
OTU12262	4148
OTU716	3288
OTU13758	53
OTU175	11866
OTU19502	1731
OTU1663	1057
OTU27174	2367
OTU4610	128
OTU12	25688
OTU24450	1500
OTU3189	297
OTU42	10021
OTU2256	2325
OTU442	3293
OTU3349	541
OTU12543	18121
OTU19041	23378
OTU17	19452
OTU181	3681
OTU76	16862
OTU163	6574
OTU22666	13428
OTU435	7465
OTU110	9916
OTU16383	23020
OTU339	6304
OTU13410	30081
OTU10	27466
OTU27	29221
OTU373	2983
OTU4702	454
OTU12667	1189
OTU4154	4143
OTU139	5054
OTU7462	166
OTU7835	1650
OTU65	6793
OTU1155	2053
OTU30	14275
OTU1330	1063
OTU25225	13990
OTU18	53837
OTU1470	491
OTU17998	12919
OTU608	3125
OTU610	3826
OTU23293	13037
OTU232	4136
OTU2558	318
OTU21	20182
OTU1619	1204
OTU225	11764
OTU5456	5986
OTU658	6074
OTU623	2149
OTU1539	9635
OTU1923	2833
OTU7198	151
OTU3766	6336
OTU22	15589
OTU1138	5675
OTU7	46158
OTU27127	147
OTU530	8426
OTU2270	536
OTU3556	2729
OTU73	16529
OTU892	3650
OTU2710	603
OTU222	5149
OTU816	2451
OTU103	13677
OTU613	2595
OTU28002	14347
OTU4748	4959
OTU27126	4278
OTU1593	377
OTU112	3782
OTU326	11584
OTU92	5221
OTU287	2006
OTU668	3793
OTU146	5812
OTU569	1803
OTU2	40846
OTU4001	1328
OTU19575	2464
OTU3179	261
OTU340	7630
OTU656	1023
OTU854	4269
OTU27552	2060
OTU11	31175
OTU148	15506
OTU82	10505
OTU20785	11239
OTU3780	1792
OTU366	7169
OTU2958	682
OTU98	16627
OTU1019	619
OTU11733	5778
OTU591	7436
OTU846	1617
OTU147	5235
OTU459	4459
OTU526	3366
OTU611	4547
OTU32	14369
OTU4851	66
OTU534	2909
OTU20775	13691
OTU50	15665
OTU14642	737
OTU20344	4517
OTU26338	3823
OTU11383	1247
OTU101	11224
OTU2165	1565
OTU733	1283
OTU797	2013
OTU7712	276
OTU23050	14117
OTU35	12570
OTU20012	38
OTU2354	515
OTU59	11567
OTU3775	1272
OTU20348	28012
